"folder"	"mzML"	"polarity"	"time"	"type"	"class"	"mode"
"2020/2020_01"	"HighIS_Mix09_CE20_POS.mzML"	"POS"	"2020-01-15 15:58:47"	"Mix09"	"Water_Mix09_High"	"CE20"
"2020/2020_01"	"HighIS_Mix09_CE30_POS.mzML"	"POS"	"2020-01-15 16:07:36"	"Mix09"	"Water_Mix09_High"	"CE30"
"2020/2020_01"	"HighIS_Mix10_CE20_POS.mzML"	"POS"	"2020-01-15 16:16:24"	"Mix10"	"Water_Mix10_High"	"CE20"
"2020/2020_01"	"HighIS_Mix10_CE30_POS.mzML"	"POS"	"2020-01-15 16:25:12"	"Mix10"	"Water_Mix10_High"	"CE30"
"2020/2020_01"	"HighIS_Mix11_CE20_POS.mzML"	"POS"	"2020-01-15 16:37:01"	"Mix11"	"Water_Mix11_High"	"CE20"
"2020/2020_01"	"HighIS_Mix11_CE30_POS.mzML"	"POS"	"2020-01-15 16:45:49"	"Mix11"	"Water_Mix11_High"	"CE30"
"2020/2020_01"	"HighIS_Mix12_CE20_POS.mzML"	"POS"	"2020-01-15 16:54:38"	"Mix12"	"Water_Mix12_High"	"CE20"
"2020/2020_01"	"HighIS_Mix12_CE30_POS.mzML"	"POS"	"2020-01-15 17:03:27"	"Mix12"	"Water_Mix12_High"	"CE30"
"2020/2020_01"	"HighIS_Mix13_CE20_POS.mzML"	"POS"	"2020-01-15 17:12:15"	"Mix13"	"Water_Mix13_High"	"CE20"
"2020/2020_01"	"HighIS_Mix13_CE30_POS.mzML"	"POS"	"2020-01-15 17:24:08"	"Mix13"	"Water_Mix13_High"	"CE30"
"2020/2020_01"	"HighIS_Mix14_CE20_POS.mzML"	"POS"	"2020-01-15 17:32:57"	"Mix14"	"Water_Mix14_High"	"CE20"
"2020/2020_01"	"HighIS_Mix14_CE30_POS.mzML"	"POS"	"2020-01-15 17:41:46"	"Mix14"	"Water_Mix14_High"	"CE30"
"2020/2020_01"	"HighIS_Mix15_CE20_POS.mzML"	"POS"	"2020-01-15 17:50:36"	"Mix15"	"Water_Mix15_High"	"CE20"
"2020/2020_01"	"HighIS_Mix15_CE30_POS.mzML"	"POS"	"2020-01-15 17:59:25"	"Mix15"	"Water_Mix15_High"	"CE30"
"2020/2020_01"	"HighIS_Mix16_CE20_POS.mzML"	"POS"	"2020-01-15 18:11:14"	"Mix16"	"Water_Mix16_High"	"CE20"
"2020/2020_01"	"HighIS_Mix16_CE30_POS.mzML"	"POS"	"2020-01-15 18:20:03"	"Mix16"	"Water_Mix16_High"	"CE30"
"2020/2020_01"	"HighIS_Mix17_CE20_POS.mzML"	"POS"	"2020-01-15 18:28:52"	"Mix17"	"Water_Mix17_High"	"CE20"
"2020/2020_01"	"HighIS_Mix17_CE30_POS.mzML"	"POS"	"2020-01-15 18:37:41"	"Mix17"	"Water_Mix17_High"	"CE30"
"2020/2020_01"	"HighIS_Mix18_CE20_POS.mzML"	"POS"	"2020-01-15 18:46:30"	"Mix18"	"Water_Mix18_High"	"CE20"
"2020/2020_01"	"HighIS_Mix18_CE30_POS.mzML"	"POS"	"2020-01-15 18:58:19"	"Mix18"	"Water_Mix18_High"	"CE30"
"2020/2020_01"	"HighIS_Mix19_CE20_POS.mzML"	"POS"	"2020-01-15 19:07:09"	"Mix19"	"Water_Mix19_High"	"CE20"
"2020/2020_01"	"HighIS_Mix19_CE30_POS.mzML"	"POS"	"2020-01-15 19:15:58"	"Mix19"	"Water_Mix19_High"	"CE30"
"2020/2020_01"	"HighIS_Mix20_CE20_POS.mzML"	"POS"	"2020-01-15 19:24:47"	"Mix20"	"Water_Mix20_High"	"CE20"
"2020/2020_01"	"HighIS_Mix20_CE30_POS.mzML"	"POS"	"2020-01-15 19:33:36"	"Mix20"	"Water_Mix20_High"	"CE30"
"2020/2020_01"	"Blank1_Water_ACN_1_NEG.mzML"	"NEG"	"2020-01-15 20:53:37"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank2_Water_ACN_1_NEG.mzML"	"NEG"	"2020-01-15 21:03:52"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank3_Water_ACN_1_NEG.mzML"	"NEG"	"2020-01-15 21:12:38"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank1_Water_ACN_2_NEG.mzML"	"NEG"	"2020-01-15 21:21:24"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank2_Water_ACN_2_NEG.mzML"	"NEG"	"2020-01-15 21:30:10"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank3_Water_ACN_2_NEG.mzML"	"NEG"	"2020-01-15 21:38:55"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank1_Water_ACN_3_NEG.mzML"	"NEG"	"2020-01-15 21:47:41"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank2_Water_ACN_3_NEG.mzML"	"NEG"	"2020-01-15 21:56:27"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank3_Water_ACN_3_NEG.mzML"	"NEG"	"2020-01-15 22:05:13"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"LowIS_Mix06_3_NEG.mzML"	"NEG"	"2020-01-15 22:13:59"	"Mix06"	"Water_Mix06_Low"	"FS"
"2020/2020_01"	"HighIS_Mix13_3_NEG.mzML"	"NEG"	"2020-01-15 22:22:45"	"Mix13"	"Water_Mix13_High"	"FS"
"2020/2020_01"	"HighIS_Mix09_2_NEG.mzML"	"NEG"	"2020-01-15 22:31:30"	"Mix09"	"Water_Mix09_High"	"FS"
